job_title,job_description
Nursing Assistant (Multiple positions/shifts),"Provides direct patient/resident care under the direction of a Registered Nurse, Licensed Practical Nurse, Physician, Nurse Practitioner or Physician Assistant. Provides direct patient/resident care in a variety of settings.
Multiple positions available:
Community Living Center
Acute Psychiatric
GeroPsychiatric
Mental Health Residential Rehab
Home Based Primary Care
Inpatient Medical/Urgent Care
Specialty Clinics
Float/intermittent pool
Your work preferences will be taken into consideration."
AIRCRAFT ORDNANCE SYSTEMS MECHANIC,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position, Aircraft Ordnance Systems Mechanic, WG-6652-11, (DUTY TITLE: BOMBERS B1,B-2, B-52 MUNITIONS MECHANIC), is to functionally test, inspect, troubleshoot, and repair a variety of specially instrumented, test, preproduction, standard and modified high performance, test modified, bomber munitions and aircraft systems, subsystems, and components."
AIRCRAFT ENGINE MECHANIC (F-22),"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a AIRCRAFT ENGINE MECHANIC (F-22), Position Description Number D1635000 and is part of the HI 154 MXS, National Guard."
SURFACE MAINTENANCE REPAIRER,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SURFACE MAINTENANCE REPAIRER, Position Description Number D1193000 and is part of the ND FMS 2, National Guard."
Pharmacy Program Manager - Oncology,"The Oncology Pharmacy Program Manager is a licensed pharmacist responsible for development, implementation, management, and reporting outcomes of the Oncology Drug Stewardship Program. The incumbent will institute improved auditing to ensure safe and effective use of drugs and manage requests for VA Puget Sound oncology medications, including requests from community care."
Lead Nurse,"Incumbent evaluates the Nursing needs of patients to develop a plan of Nursing care, initiate patient care assignments by implementing and modifying changes; provide or direct the provision of care, delegate duties to appropriate personnel, teach and supervise work as needed for RNs, nursing assistants, health tech, and medical support assistants. Incumbent is responsible for movement of patients through the Department in a safe and efficient manner by coordinating patient care activities."
Lead Nurse,"This position is located at the following Service Units, Chinle Service Unit, Chinle, AZ; Crownpoint Service Unit, Crownpoint, NM; Gallup Service Unit, Gallup, NM; Kayenta Service Unit, Kayenta, AZ; Shiprock Service Unit, Shiprock, NM. Incumbent evaluates the Nursing needs of patients, developing a plan of Nursing care, initiates patient care by implementing and modifying needs; provides or directs the provision of care, delegated duties, teaching and supervising."
Forestry Technician,"This position is located in Klamath National Forest, Goosenest Ranger District in Macdoel, CA. This position is located on a Forest Service unit and is assigned a variety of complex and recurring technical duties individually or as a crew member or team leader, in support of the unit's various natural resource management program areas. For additional information about the duties of this position, please contact Drew Stroberg, 530-398-5700 dstroberg@fs.fed.us."
Information Technology Specialist (SYSADMIN) NF-04,"This position will remain open until filled with cutoff dates being the 15th and the last day of the month for employment consideration. Local candidates will be reviewed first as PCS is not authorized. If determined that area of consideration is to be expanded, all candidates will be considered."
Library Technician NF-02,"The Area of Consideration for this vacancy announcement is Island of Oahu. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration.) This position is located at Fort Shafter, Library. To better expedite the hiring process, we recommend including full contact information (name, address, phone number, email, etc.) for professional and personal references on your resume."
CYS Program Associate Instructor NF-03,"The Area of Consideration for this vacancy announcement is the local commuting area. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration.) This position is located at Schools of Knowledge, Inspiration, Exploration, and Skills (SKIES Unlimited)."
Electronics Engineer,"About the Position: Program Executive Office Command Control Communications- Tactical (PEO C3T), headquartered at APG, MD develops network-centric C3T systems for the digitized Army and fields Joint C3T systems to provide an integrated information system of systems seamlessly linking every sensor, shooter, commander and support to create a common view of the battlefield."
Electronics Engineer,"About the Position: Program Executive Office Command Control Communications- Tactical (PEO C3T), headquartered at APG, MD develops network-centric C3T systems for the digitized Army and fields Joint C3T systems to provide an integrated information system of systems seamlessly linking every sensor, shooter, commander and support to create a common view of the battlefield."
MANAGEMENT ANALYST,"About the Position: Work under the immediate supervision of the Chief, Data Quality Analysis Division, DCSRM who issues general instruction as to the scope of assignments, problems to be expected, objectives to be achieved, and any limitation on the nature of the solution or the procedures to be used."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Food and Beverage Attendant NA-03,"The Area of Consideration for this vacancy announcement is Vicenza, Italy. (Military Spouse Preference (MSP), Involuntarily Separated Military Preference (ISMP) and Family Member Preference eligible candidates are included in the area of consideration.) This position is located at Arena. To better expedite the hiring process, we recommend including full contact information (name, address, phone number, email, etc.) for professional and personal references on your resume."
Physical Scientist ZP-1301-III (GS-11/12 Equivalent),This position is located in the NIST International and Academic Affairs Office. Are you ready to explore your future with NIST? Your application package may be shared with other selecting officials at NIST with opportunities like the one you are applying to. Additional selections may be made through this vacancy. This notice is issued under direct-hire authority to recruit new talent to occupations for which NIST has a severe shortage of candidates.
AIRPLANE FLIGHT INSTRUCTOR,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a AIRPLANE FLIGHT INSTRUCTOR, Position Description Number D2044P01 and is part of the Pennsylvania National Guard, National Guard. 2 or more Position(s) may be hired against this Announcement. Position may lead to permanent assignment without further advertisement. Re-Advertisement of Technician Vacancy Announcement #18-320."
RN-Nurse Manager MH,"Nursing Service is recruiting for a full time Nurse Manager for the Mental Health Clinics at the Newington campus. This incumbent will be responsible for the day to day management of the clinics as well as the nursing staff in the Mental Health day programs and outreach programs. APRNs, RNs, and health technicians directly report to this position."
Teacher,"Why work for the Federal Bureau of Prisons?
You can have a meaningful career with an agency that truly values a diverse workforce. You will find a diverse workforce employed from entry level jobs to senior management positions. We protect public safety by ensuring federal offenders serve their sentences of imprisonment in facilities that are safe, humane, and provide reentry programming. Employees at correctional facilities perform correctional work regardless of their specific occupation"
General Engineer (Software),"Mission Statement
The NRO is the U.S. Government agency in charge of designing, building, launching and maintaining America's intelligence satellites. The NRO provides reconnaissance information to the Intelligence Community and the DoD warfighters. For more information see: http://www.nro.gov NRO is accepting applications from both Federal government employees and U.S. Citizens for this position. FOR CURRENT CIVILIAN FEDERAL EMPLOYEES APPLYING PLEASE SEE THE QUALIFICATIONS SECTION BELOW."
AIRCRAFT SURVIVAL FLIGHT EQUIPMENT REPAIRER,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for an Aircraft Survival Flight Equipment Repairer, Position Description Number D1729000 and is part of the 158th OSF of the Vermont Air National Guard."
Registered Respiratory Therapist,"**** This position is with the Medical Service and is located at the Bedford VA Campus*** Registered Respiratory Therapists are responsible to assure that all respiratory treatments are delivered in a proper manner. Registered Respiratory Therapist will be in direct communication with Physicians, Nursing and other health care providers to assure that the optimal care is delivered to all patient population. Work Schedule: Monday - Friday - day shift
Financial Disclosure Report: Not required"
Transition & Care Management (TCM) Program Lead Coordinator/Case Manager Social Worker,"The Lead Coordinator/Case Manager is a social worker working in the (TCM) Program whose primary responsibilities are to provide clinical services and interventions; caregiver, Veteran, and staff education on caregiver issues; community outreach; resource development; continuous quality improvement, and evaluations/consultation. The incumbent must be a skilled communicator capable of developing effective partnerships with local, state, federal agencies as well as non-government organizations."
Accounting Technician,"Incumbent serves as an Accounting Technician in the VISN 6 Centralized Finance Service at the Salem Veterans Affairs Medical Center in Salem, VA. Maintains general ledger control accounts and subsidiary records for Medical Care, Facilities, Administration, and IT appropriations, Research, General Post Funds and Suspense Account Funds for VAMCs, Community Based Outpatient Clinics, Vet Centers and contracts with other facilities."
INFORMATION TECHNOLOGY SPECIALIST (INFOSEC),"This position is located in the Defense Security Service (DSS), Industrial Security Field Operations directorate."
Ophthalmologist,"Selectee is eligible to apply for Education Debt Reduction Program (EDRP). There are no recruitment/relocation incentives authorized for this position. The Cheyenne VA Medical Center is seeking a board certified/board eligible Ophthalmologist to provide comprehensive ophthalmology services. This candidate will join the Surgical Service Eye Clinic which currently consists of: section Chief, two Ophthalmologists, two Optometrists, four Ophthalmology Technicians and three Optometry Technicians."
Secretary (Surgery Service),"The position is aligned under Surgery Service at the Louis A. Johnson VA Medical Center. As part of the administrative team, the incumbent serves as the secretary to the Chief of Staff for Surgery Service and provides additional support to the entire service."
Nurse Practitioner,"THIS POSITION IS LOCATED IN THE MEDICAL SERVICE/ HOSPITAL-IN-HOME PROGRAM AT THE WEST ROXBURY CAMPUS Work Schedule: Mon - Fri 8:00 am - 4:30 pm
Financial Disclosure Report: Not required Hospital in Home is an innovative care model that delivers acute care services to select patients in their home. This exciting model is established in both VA medical centers and private sector hospitals. It has been associated with outstanding patient and staff satisfaction, and excellent safety outcomes."
AIRCRAFT MECHANIC - Title 32,"This National Guard position is for an AIRCRAFT MECHANIC - Title 32, Position Description Number D1063000 and is part of the WI AASF 2, Wisconsin National Guard."
Correctional Institution Administrator (Executive Assistant/Satellite Operations Administrator),"Why work for the Federal Bureau of Prisons?
You can have a meaningful career with an agency that truly values a diverse workforce. You will find a diverse workforce employed from entry level jobs to senior management positions. We protect public safety by ensuring federal offenders serve their sentences of imprisonment in facilities that are safe, humane, and provide reentry programming. Employees at correctional facilities perform correctional work regardless of their specific occupation."
AIRCRAFT MECHANIC (T32),"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a AIRCRAFT MECHANIC (T32), Position Description Number D1525000 and is part of the AL 117TH Air Refueling Wing, National Guard. LOCATION: 117TH ARW, BIRMINGHAM, AL
SELECTING OFFICIAL: SMSgt W. NELSON"
Advanced Medical Support Assistant (Telehealth),"This is an external job announcement. Current permanent Aleda E. Lutz employees, current permanent VA employees from another facility, and current permanent employees from another Federal Agency MUST apply under the INTERNAL announcement, CBBV-10516210-19-RLH unless applying by using Veteran Preference. All applicants applying under this external announcement will be subject to Veterans' preference."
HR SPEC (MILITARY),"FEDERAL TECHNICIAN VACANCY ANNOUNCEMENT
PERMANENT
DUAL STATUS, NON-BARGAINING
DE JFHQ ANG AREA I = All presently employed Delaware Air National Guard permanent federal technicians.
AREA II = All currently active members of the Delaware Air National Guard. THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a HR SPEC (MILITARY), Position Description Number D1546000 and is part of the DE Delaware JFHQ Air National Guard, National Guard."
Test Administrator,"About the Position: As Test Administrator, you will administer Tests to individuals wishing to enter the military. This position is assigned to the Butte Military Entrance Processing Station (MEPS). Positions may be filled at the following area: Great Falls, MT and Billings, MT. This is an intermittent position. It does not provide guaranteed work hours, and work is on an ""as needed"" basis. It will not lead to a full-time position, and you will be paid only for the hours worked."
Budget Analyst,"This position is located in the Budget Division, Financial Services Directorate, Chief Operating Officer.
The position description number for this position is 255875.
The salary range indicated reflects the locality pay adjustments for the Washington, D.C., Metropolitan area.
This is a non-supervisory, non-bargaining unit position.
Relocation expenses will not be authorized for the person(s) selected under this vacancy announcement."
Sales Clerk NF-01,"The Area of Consideration for this vacancy announcement is Local Commuting Area. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration.) The general working hours will be Monday through Friday, between the hours of 0600-1730. Hours of operation are contingent upon mission needs. This is a Regular part time position to include NAF Benefits."
Clinical Dietitian,"The Outpatient Clinical Dietitian will be involved in the professional practice of dietetics, in accordance with the guidance set forth in Clinical Nutrition Services policies, VACO Nutrition and Food Service policies and procedures and VA regulations governing the practice of dietetics. The Outpatient Clinical Dietitian may be scheduled and assigned to any nutrition practice area. Duty Station: John Cochran division, but may be assigned to another VASTLHCS station based on need.
FMLA: Exempt"
Test Administrator,"About the Position: As Test Administrator, you will administer Tests to individuals wishing to enter the military. This position is assigned to the Butte Military Entrance Processing Station (MEPS). Positions may be filled at the following area: Great Falls, MT and Billings, MT. This is an intermittent position. It does not provide guaranteed work hours, and work is on an ""as needed"" basis. It will not lead to a full-time position, and you will be paid only for the hours worked."
SALES ASSOCIATE VARIOUS LOCATIONS,"Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively."
Material Handler Leader,"In this position, you will provide leadership and perform duties and tasks related to the proper receipt, storage, and preparation of submitted samples, veterinary biologics, laboratory reagents, and related materials."
Medical Support Assistant,"We are accepting resumes for the MSA occupation on an ongoing basis; qualified applicants will be considered as vacancies become available. The incumbent may be assigned to perform duties at any of the four facilities (Ann Arbor-MI main campus or community based outpatient clinics located in Toledo-OH, Flint-MI, Jackson-MI) of the VA Ann Arbor Healthcare System."
Advanced Medical Support Assistant,"We are accepting resumes for the AMSA occupation on an ongoing basis; qualified applicants will be considered as vacancies become available. The incumbent may be assigned to perform duties at any of the four facilities (Ann Arbor-MI main campus or community based outpatient clinics located in Toledo-OH, Flint-MI, Jackson-MI) of the VA Ann Arbor Healthcare System."
Licensed Practical Nurse-(Open and Continuous)-Long Term Care and Mental Health,"This is an Open and Continuous Announcement for 90 Days to maintain application packages for potential LPN vacancies. As vacancies occur, positions will be filled with qualified applicants in various locations (Montrose and Castle Point) on various shifts. The Licensed Practical Nurse (LPN) performs a range of Veteran care duties within the Mental Health, Long Term Care, and Community Living Center-Nursing Home (CLC), within the Hudson Valley Health Care System."
ELECTRONIC INTEGRATED SYSTEMS MECHANIC (T32),"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a ELECTRONIC INTEGRATED SYSTEMS MECHANIC (T32), Position Description Number D2325000 and is part of the AL 187TH Fighter Wing, National Guard. LOCATION: 187TH FW, MONTGOMERY, AL
SELECTING OFFICIAL: SMSgt W. NELSON"
"Director, Land, Chemicals and Redevelopment Division","This Senior Executive Service (SES) position is located in Region 2, Land, Chemicals and Redevelopment Division, New York, NY. For more information on this office, visit their website: https://www.epa.gov/aboutepa/epa-region-2If selected, you must work at the location stated in this announcement."
"Physician - (Chief, Hematology-Oncology Section)","The selectee will report directly to the Chief of Medicine at the Cincinnati VA Medical Center and collaborate closely with the divisional and cancer center leadership at the University of Cincinnati College of Medicine and UC Health to coordinating the scientific, clinical, and educational oncology programs at Cincinnati VAMC; will chair the Cancer Committee at Cincinnati VA and will oversee its Hematology-Oncology operational and clinical research programs."
PROGRAM ANALYST,THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This position is located in a State Headquarters directorate or division level office. The purpose of this position is to serve as the analyst and consultant for the management and administration of programs within the directorate or division. DEFINITION OF AREA(S) OF CONSIDERATION: Area 1 = Enlisted members of the Louisiana National Guard.
PRODUCTION CONTROLLER (AIRCRAFT) Title 32 Permanent,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a Production Controller (Aircraft), Position Description Number D1064000 and is part of the NH ARNG DCSAV, National Guard."
Physician - Radiation Oncology Chief,"The Department of Radiation Oncology at the Michael DeBakey VA Medical Center, Houston is recruiting for a Section Chief of Radiation Oncology. The MEDVAMC is one of the main teaching hospitals for Baylor College of Medicine's (BCM) Radiation Oncology Residency Program RECRUITMENT/RELOCATION INCENTIVES MAY BE OFFERED TO HIGHLY QUALIFIED APPLICANTS You may be eligible to apply for the Education Debt Reduction Program. Contact Human Resources at this Medical Center for more information."
MANAGEMENT & PRGM ANALYST,This position is part of the Organization of the Joint Chiefs of Staff. The incumbent will serve as a Management and Program Analyst.
"Director, Superfund and Emergency Management Division","This Senior Executive Service (SES) position is located in Region 2, Superfund and Emergency Management Division, New York, NY. For more information on this office, visit their website: https://www.epa.gov/aboutepa/epa-region-2If selected, you must work at the location stated in this announcement."
Equipment Specialist (General),"About the Position: The incumbent will work under close supervision and work in a developmental capacity performing assignments and completing training, both of which are aimed in preparing the incumbent to gain the knowledge and skills necessary to perform the duties of the position. Incumbent may be non-competitively promoted pending requirements and demonstrated ability to perform the target level grade duties."
Housekeeping Aid,This position is located under Environmental Management Service. The overall purpose is to clean facilities non-critical medical equipment so it is properly disinfected.
Materials Handler,"In this position, you will perform duties and tasks related to the proper receipt, storage, and preparation of submitted samples, veterinary biologics, laboratory reagents, and related materials."
PUBLICA AFFAIRS SPECIALIST,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. **Superior Qualifications and Special Needs Pay-setting Authority may be considered for this position. TAG is final approval authority for incentive programs.** **Recruitment and Relocation Incentive may be authorized up to 25% of base pay for a max of 4 years pending TAG approval.** This National Guard position is for a PUBLICA AFFAIRS SPECIALIST, Position Description Number D2382000 and is part of the 106TH RQW, National Guard."
"Mathematical Statistician (Research), GS-1529-14, Census-MP-SM","This vacancy is for aMathematical Statistician (Research)position in the Center for Statistical Research and Methodology (CSRM) located at the U.S. Census Bureau Headquarters in Suitland, Maryland. The Census Bureau is accessible from the Metro Rail Green Line - Suitland Station."
"Mathematical Statistician (Research), GS-1529-14,Census-DE-SM","This vacancy is for aMathematical Statistician (Research)position in the Center for Statistical Research and Methodology (CSRM) located at the U.S. Census Bureau Headquarters in Suitland, Maryland. The Census Bureau is accessible from the Metro Rail Green Line - Suitland Station."
AIRCRAFT ORDNANCE SYSTEMS MECHANIC (T32),"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a AIRCRAFT ORDNANCE SYSTEMS MECHANIC (T32), Position Description Number D1736P01 and is part of the AL 187TH Fighter Wing, National Guard. LOCATION: 187TH FW, MONTGOMERY, AL
SELECTING OFFICIAL: CMSgt M. MCKENZIE
*INDEFINITE APPOINTMENT: THIS POSITION WILL BE FILLED AS AN INDEFINITE APPOINTMENT FOR AN UNSPECIFIED PERIOD OF TIME. THE INCUMBENT MAY BE TERMINATED UPON RECEIVING A 30 DAY NOTICE."
Food Service Worker,"The Organizational Location of the Position is: Food Service Section, Nutrition and Food Service, VA North Texas Health Care System, Dallas, TX."
PROSTHETIC REPRESENTATIVE (Assistant Chief),"This position is located within the Prosthetics/Orthotics service line and is located between the Brockton, Jamaica Plain and West Roxbury MA Campuses. All current and former Federal employees must submit a copy of their resume and SF50"
Supervisory Aircraft Loadmaster (Instructor),"The primary purpose of this position is: as an Air Reserve Technician (ART) position, to exercise second level supervisory and managerial authorities over the C-17 loadmaster function, and serve as an aircrew member when needed."
Food Service Worker,"OUR MISSION: To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans? **A Recruitment Incentive of $1,000 has been authorized for a highly qualified candidate."
ELECTRONICS MECHANIC,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a ELECTRONICS MECHANIC, Position Description Number D1205000 and is part of the CO CSMS 07, National Guard. The primary purpose of this position is to perform field and limited sustainment maintenance and repair on a variety of complex electronics equipment and complete operational systems."
Physical Therapist,The physical therapist provides a wide range of Veteran services in collaboration with the Patient Aligned Care Teams (PACT).
Supervisory Mobilization Support Specialist,"About the Position: This position is located at the US Army Installation Management Command, US Army Garrison Fort McCoy, Directorate of Plans, Training, Mobilization and Security, Plans, Operations and Security Division, Mobilization and Demobilization Branch, Fort McCoy, Wisconsin.
Fort McCoy is located in a good rural area, between Tomah and Sparta. The area offers commendable schools and reasonable housing costs; situated between two major interstates."
Museum Technician (Art),"This position is located within the Office of the Deputy Director (DD), Conservation Division (DCL), Preventive Conservation (DCL-PV) of the National Gallery of Art. The primary purpose of this position is to perform major and minor treatments on frames owned by the National Gallery of Art, including the preparation of frames for the permanent collection, exhibitions and travel."
Social Services Assistant (Security Assistant),VAMC Tomah (http://www.tomah.va.gov/) has been improving the health of the men and women who have so proudly served our nation. We consider it our privilege to serve your health care needs in any way we can. Services are available to veterans living in a Western/Central area of Wisconsin.
Museum Technician (Art),"This position is located within the Office of the Deputy Director (DD), Conservation Division (DCL), Preventive Conservation (DCL-PV) of the National Gallery of Art. The primary purpose of this position is to perform major and minor treatments on frames owned by the National Gallery of Art, including the preparation of frames for the permanent collection, exhibitions and travel."
Physical Scientist,"This position is located in the Office of Justice Programs (OJP),National Institute of Justice (NIJ), Office of Investigative & Forensic Sciences (OIFS). The incumbent serves as a Program Manager, responsible for planning, testing, evaluating, managing, and reporting on issues related to OIFS scientific research portfolios and programs, and studies concerning technologies, systems, and research for forensic science in conjunction with other criminal justice communities."
HEAVY MOBILE EQUIPMENT MECHANIC,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a HEAVY MOBILE EQUIPMENT MECHANIC, Position Description Number D0349000 and is part of the ME 101st Logistics Readiness Squadron, National Guard."
Teacher (Gifted and Talented),"This position is part of the Cheyenne Eagle Butte School, Bureau of Indian Education. As a Teacher (Gifted and Talented) you will be responsible for serving as a classroom teacher in a BIE school on or near the Reservation. The instruction area(s) will normally be Gifted and Talented in an elementary setting."
IT SPECIALIST (NETWORK),"This position is located in the Department of Homeland Security (DHS), Office of the Chief Information Officer (CIO). The primary purpose of this position is to analyze, manage, or perform work necessary to monitor, maintain, or modify systems for solving complex network problems or accomplishing work processes by using information technology (IT) systems such as computers, routers, firewalls, etc."
Clinical Pharmacist,"This is an external job announcement. Current permanent Aleda E. Lutz employees, current permanent VA employees from another facility, and current permanent employees from another Federal Agency MUST apply under the INTERNAL announcement, CBBV-10518977-19-AD unless applying by using Veteran Preference. All applicants applying under this external announcement will be subject to Veterans' preference."
Health Science Specialist,"The Health Science Specialist serves as the Research Compliance Officer (RCO) for a large complex research program that is actively involved in multiple categories of research (human, animal, biomedical laboratory, etc.). He/she will ensure that research conducted meets the standards and expectations for protection of human subjects, animal welfare, biosafety/biosecurity, and research information security that are defined by Veterans Affairs and other federal requirements."
PRODUCTION CONTROLLER (T32),"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a PRODUCTION CONTROLLER (T32), Position Description Number D1255000 and is part of the AL FMS 24, National Guard. POSITION: NON-MERIT
LOCATION: FMS #24, ANDALUSIA, AL
SELECTING OFFICIAL: CW3 T. BAKER"
INTELLIGENCE SPECIALIST,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to serve as a expert intelligence analyst and subject matter expert for the
Warfighting Operations Support Directorate and is engaged in the technical analysis and production of information
obtained and processed from multiple intelligence sources in support of customer requirements."
AIRCRAFT MECHANIC,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a AIRCRAFT MECHANIC, Position Description Number D1366000 and D1400000 and is part of the PA 193rd Special Operations Wing, National Guard. 1 or more Position(s) may be hired against this Announcement. Position may lead to permanent assignment without further advertisement. WG-10 $23.69 to $27.61 ph
Developmental
WG-08 $ 21.43 to $25.00 ph"
Assistant Chief Technologist,"This Assistant Chief Technologist (DRT (Diagnostic Radiology and Mammography) position is assigned to the James A Haley VA Healthcare System, Imaging Service. The Supervisor leads team members in varying assignments including special and complex Diagnostic Radiology and Mammography examinations and procedures within the Diagnostic Radiology and Mammography sections, with and without the use of contrast materials, 100% of the time, and is accountable to the Chief Technologist."
Surface Maintenance Repairer (Title 32),"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a Surface Maintenance Repairer (Title 32), Position Description Number D1193000 and is part of the VA G4 (FMS 1), National Guard."
SECURITY SPECIALIST,"You will serve as a SECURITY SPECIALIST in the SECURITY AND FIRE OFFICE, SECURITY PROGRAMS BRANCH, SECURITY OPERATIONS DIVISION of NORFOLK NAVAL SHIPYARD."
Clinical Psychologist (Drug Abuse Program Coordinator),"Why work for the Federal Bureau of Prisons?
You can have a meaningful career with an agency that truly values a diverse workforce. You will find a diverse workforce employed from entry level jobs to senior management positions. We protect public safety by ensuring federal offenders serve their sentences of imprisonment in facilities that are safe, humane, and provide reentry programming. Employees at correctional facilities perform correctional work regardless of their specific occupation."
AIRCRAFT MECHANIC,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a AIRCRAFT MECHANIC, Position Description Number D1525000 and is part of the PA 193rd Special Operations Wing, National Guard. 1 or more Position(s) may be hired against this Announcement. Position may lead to permanent assignment without further advertisement."
SURFACE MAINTENANCE MECHANIC INSPECTOR,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SURFACE MAINTENANCE MECHANIC INSPECTOR, Position Description Number D1286000 and is part of the CO CSMS 07, National Guard. The purpose of the position is to serve as an inspector of surface maintenance vehicles and equipment to ensure that physical and operating characteristics are within acceptable standards and specifications."
Physician (Medical Officer of the Day),The Medical Officer of the Day (MOD) will serve the Battle Creek VA Medical Center with all patient needs during non business hours.
SUPPLY TECHNICIAN,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This position is located in the United States Property and Fiscal Office (USPFO). Its purpose is to provide storage and distribution, cataloging or supply identification systems, property utilization or other related supply activities including those associated with automated or manual supply accounting systems. DEFINITION OF AREA(S) OF CONSIDERATION: Area 1 = Enlisted members of the Louisiana National Guard."
Social Worker (HUD-VASH),"Housing and Urban Development - VA Supported Housing (HUD-VASH) is an intensive case management program for chronically homeless veterans aimed at providing psychosocial services to veterans while residing in stable housing through HUD's Section 8 voucher system. The social worker functions as a case manager for the HUD-VASH program within the Mental Health Services Care line at the Eastern Colorado Health Care System in Denver, Colorado."
